bootstrap,auc_boot,auc_original,brier_boot,brier_original,calibration_intercept_boot,calibration_intercept_original,calibration_slope_boot,calibration_slope_original
110,0.995279593318809,0.9681090693538827,0.03437102507258755,0.05705892997529499,-0.3651439873979466,0.057422946792976166,3.1100934307058785,2.080582839952671
111,0.9960594960594961,0.9783046828689983,0.04693086000337362,0.060017155048425266,-0.07311975902407969,-0.4476205312602221,3.782610220612169,2.6218049354359003
112,0.9944947394176658,0.9823355068168347,0.04957572284743954,0.06140100498211126,-0.3984535550028478,-0.45520848626146726,3.710654974941206,2.6761847200282918
113,0.9967723004694835,0.9671606401896858,0.032527196104482355,0.057253937628032416,0.005593941312428141,0.14121890197677103,3.3696275054589373,2.090333912849679
114,0.9956983805668016,0.985180794309425,0.04406857661956407,0.060736137037983515,0.20028859201739865,0.029982451383151833,3.9934503460914956,3.081416733145281
115,0.9971830985915492,0.9595139300533492,0.032059651339385056,0.05353226453588404,-0.6943325905726294,-0.01949779222303571,3.3384275170857562,1.7600202394524491
116,0.9956896551724139,0.9728512151748666,0.03573330301341427,0.06344910966968251,0.2185768319428732,-0.3754289017418872,2.9382717662228948,1.8722074559672672
117,0.9937049180327868,0.9665678719620628,0.04012606997233464,0.05936481272373697,-0.3584821664320298,-0.24844977258363576,2.9164395994710524,2.1571876141677815
118,0.9960680751173708,0.974510966212211,0.036684546844155584,0.060702902568784176,0.009841008174006292,-0.3190736663479451,3.1065228388191866,2.0820284116876793
119,0.9958683473389357,0.9518672199170124,0.03656775868602115,0.060436985602340065,-0.6662093040916374,-0.08361074925348226,3.4729284275000625,1.9440855418720815
120,0.9971551261406333,0.9770598695909899,0.04033900619286627,0.058208895915941285,0.07862719118408541,-0.24004550629356233,3.4894095149689197,2.4156837074891144
121,0.9968127490039841,0.9662122110254889,0.0365006155842697,0.0586562392560128,-0.20001726345916448,-0.2317513741688774,3.8257457276364417,2.0961793332346654
122,0.9975786924939467,0.9664493183165382,0.032451391274522574,0.05803382287801588,-0.03451392401289154,-0.06593297988844303,3.645316604699638,2.14223788645812
123,0.9941277220455101,0.968583283935981,0.03553487163802965,0.058010400609138625,0.021494752983532425,0.034851179645407786,2.91594290447064,1.987781669309851
124,0.9973697088328848,0.9711321873147599,0.029887461986491146,0.05664829448986419,0.042471889776142836,0.3010540437316524,3.308174901678437,2.0199276450437833
125,0.9967660797700323,0.9727919383521044,0.036327852626133916,0.0591864107549321,0.6668520165587433,-0.13028239215828527,3.632308815027883,2.2746984834644652
